id,name,description,neighbourhood_cleansed,property_type,tags
33009.0,Retreat in Williamsburg,"A calm, peaceful, private home away from home.<br /><br /><b>The space</b><br />A private, serene space in Williamsburg, Brooklyn. Located on a Historic Landmarked block. This second-floor walkup space has a private kitchen, bathroom, bedroom and TV room. Part of an owner-occupied house and has its own entrance. Outfitted with a queen-size bed, bed/bath linens, Wi-Fi, satellite TV and a/c. Non-smoking. Max occupancy of 2.<br /><br />5-mins walk to Bedford ""L"" train. 1-stop into Manhattan. Very close proximity to the neighborhood's plethora of eating and drinking establishments, as well as shops. Whole Foods Market is 3 blocks away...<br /> <br />Please kindly get in touch to get a confirmation about availability BEFORE putting in a booking...<br /><br />Please do note that there is an extra charge of $15 per night should guests require 2 separate sleeping setups.<br /><br /><b>Guest access</b><br />Guest has access to their own bedroom, bathroom, kitchen and tv room.<br /><br /><b>Othe",Williamsburg,Entire apartment,"['two', 'Bed-Stuy.<br', 'New York City', 'two', 'five', 'one', '4', '6', 'a night in', '7 minutes away', '3', '15 minutes', 'Brooklyn', '5', '25 minutes', 'Manhattan', 'NYCs']"
33014.0,NYC Zen,"That's the view from our window!  This is our apartment.  We travel quite a bit and happy to share our place with  mellow tidy people. It is quite big for NYC at 700sq ft : 2 real bedrooms, one with a loft bed and a pull out couch in livingroom.  It is in the heart of NYC's East Village. Great light and views of the Empire State building as you can see. Near wonderful restaurants, shopping and one block from a super market. There is laundry across the street and mins from most east side trains.<br /><br /><b>The space</b><br />Large 700sq ft apt. with two real bedrooms, right in the heart of New City’s<br />East Village. Lots of light and great views of the Empire State building.<br />There is one queen bed and a and pull out couch that sleeps 2. There is also a loft bed in the second bedroom. This is my son’s room so it has toys but making it great for families.<br /><br />There is a full kitchen and you are free to use whatever you need. <br /><br />The locations has many wonderful r",East Village,Entire apartment,"['Williamsburg', 'Brooklyn', 'second', 'Bedford ""L"" train', '1', 'Manhattan', 'Whole Foods Market', '3 blocks', '15', '2']"
33156.0,"Sunny, Clean Zen Home w pr.Bath","Fully furnished and equipped. <br />Relaxing, sunny, sparkling clean oasis, large studio with 2 big trees facing south. Lots of light and black out shades for the night. <br />Perfect for mature, quiet, drug free, non vaping, smoking, non-partying person. Positive energy, ideal for studying. <br />Subways, Central Park, Grocery stores, restaurants all around. Disinfected, shoes off place, no extra guests, building is  respectful and safe. 1, 3 ,6 month or 1 year avail.<br /><br /><b>The space</b><br />WELCOME to an Oasis in the City. <br /><br />Sunny zen- like space in one of the best locations in NYC. <br />Mandatory shoes off apartment- if that sounds inconvenient, please do not book here.<br />- quiet and peaceful at night so you actually get restful sleep. <br />- blackout shades at night <br />- sun flooded by day<br />- firm queen bed, work desk and love seat<br />- kitchenette fully equipped with necessities<br />- bathroom with strong shower pressure and tub ( towels, linens, ",Upper West Side,Entire apartment,"['NYC', '700sq ft', '2', 'one', 'NYC', 'East Village', 'Empire State', 'one', '700sq ft', 'two', 'New City’s<', 'Empire State', 'one', '2', 'second']"
34760.0,Sunny Room in Old Historical Brooklyn Townhouse,"Sunny Room in a lovely Brownstone in Fort Greene. Private room in house-shared with the host.<br /><br /><b>The space</b><br />The Room<br /><br />The room available is very comfortable, with lots of sunlight. It is inside a fully occupied home, lived by the Host. It has a full size bed, a desk and 2 large windows that face a main avenue. It is on the third floor of a three story brownstone and around the corner from the beautiful Fort Greene Park, it's Saturday Farmer's Market, the Brooklyn Academy of Music (BAM), the Navy Yard, the Barclay's Center, City Point Retail Shopping Center, the Pratt Institute and many other things. The full bathroom is shared with other rooms on the the third floor.<br /><br />If you have any more questions, just let me know. I am happy to answer them all.<br /><br /><b>Guest access</b><br />This listing is recommended for travelers visiting NYC and expecting to explore the city all day, and looking for a cozy, comfortable place to call home when is time t",Fort Greene,Private room in townhouse,"['2', 'Central Park', '1', '3 ,6 month', '1 year', 'Oasis', 'NYC']"
36442.0,Great location. Spacious 2BR near PROSPECT PARK,"Spacious 2BR, 1 bathroom, dine-in kitchen and living room. <br />Second floor of a 4 story building.   Wifi.<br /><br />Close to everything, two blocks from Prospect Park, Brooklyn Botanical Garden, Brooklyn Museum of Art, amazing restaurants and bars on Vanderbilt Av, and Washington Av.<br /><br /><b>The space</b><br />Very comfortable, spacious and quiet, strategically located. Fast commute to Manhattan, 3 stops to Canal Street (Subway Q/B)<br /><br />Two and 1/2 blocks to Grand Army Plaza, Brooklyn Museum of Art, Botanical Garden, Central Brooklyn Public Library, Saturdays Farmers Market, and amazing Prospect Park.<br />Restaurants and bars Washington Av, Vanderbilt Av, Flatbush Av. and just a short walk to Park Slope, restaurants and bars.<br /><br />Subway:<br />2 / 3 Grand Army Plaza and Q / B at 7Av subway station.",Prospect Heights,Entire apartment,"['Sunny Room', 'Brownstone', 'Fort Greene', '2', 'third', 'three', 'Fort Greene Park', ""Saturday Farmer's Market"", 'the Brooklyn Academy of Music', 'BAM', 'the Navy Yard', ""the Barclay's Center"", 'City Point Retail Shopping Center', 'the Pratt Institute', 'third', 'NYC', 'all day']"
36647.0,Private Bdrm/Bathrm. New! Elevator!,"<b>The space</b><br />Private bedroom with your own bathroom in a 2 bedroom, 2 bathroom, modern-style furnished condo.<br />Newly built, cheerful, quiet, on 5th floor of 8-story elevator-building<br />Located on 2nd Ave and 110th street in Manhattan (No 6 train). An attractive neighborhood within walking distance of:<br />Subway, Library, Health club/gym, Post office, Supermarkets, Restaurants, Costco, Shops, Central Park, NYC Recreation Center, East River park...<br />• Your furnished bedroom: large window, queen-size bed, lamp, hallway closet. It is a cozy room (9'-11"" x 8'-7"") plus a hallway closet <br />• Your own full bathroom with marble-tiled wall/ floor and frosted glass window<br />• Living room (share): new wood floor, windows, sofa/entertaining and dining areas, cheerful and peaceful<br />• Kitchen (share): fully equipped with modern appliances; also features breakfast-counter<br />• Individually controlled air-conditioning and heating thruout<br />• Towels and bed sheet are",East Harlem,Private room in apartment,"['1', '4', 'two', 'Prospect Park', 'Brooklyn Botanical Garden', 'Brooklyn Museum of Art', 'Vanderbilt Av', 'Washington Av.<br', 'Manhattan', '3', 'Canal Street', '1/2 blocks', 'Grand Army Plaza', 'Brooklyn Museum of Art', 'Botanical Garden', 'Central Brooklyn Public Library', 'Saturdays Farmers Market', 'Prospect Park.<br', 'Washington Av', 'Vanderbilt Av', 'Flatbush', 'Park Slope', 'Grand Army Plaza', 'Q / B', '7Av']"
36703.0,"Sunny, clean 1 bdrm in W. Village","<b>The space</b><br />This location is only available for 30 days or more. Please, no inquiries for anything less.  It is against NY law.<br /><br />Location!  Location! Sunny, bright, clean spacious junior 1-bedroom apartment available for short-term rental.  10th Street btw Bleecker and Hudson! Steps from the Christopher Street Subway and Bleeker Row.  This apartment is a walk-up, however it is a short 1-1/2 flights.<br /><br /><br />Cleaning fee. Cash on departure.<br /><br />High-speed wireless internet connection.  <br /><br />Full kitchen with everything. <br /><br />Towels and sheets provided. Shower only, no tub.  There is laundry in the building. <br /><br />No smoking, no pets, no parties. Apartment is perfect for a couple and possibly a small child (or another adult) can sleep on couch in living room. <br /><br />Apartment is within walking distance of Soho, The Meatpacking District,  East Village, Nolita, Chelsea, Union Square, and ALL subway lines. Live downtown in the cen",West Village,Entire condominium,"['2', '2', '5th', '8', '2nd Ave', '110th street', 'Manhattan', '6', 'Library', 'Supermarkets', 'Restaurants', 'Costco', 'Shops', 'Central Park', 'NYC Recreation Center', 'East River park']"
38663.0,Luxury Brownstone in Boerum Hill,"Beautiful, large home in great hipster neighborhood. Perfect for large groups, big backyard, perfect for kids!<br /><br /><b>The space</b><br />5 BR luxury brownstone in prime Boerum Hill, one block from main subway artery at Atlantic/Pacific streets, minutes to Atlantic Ave and Smith St/Court St. shops and restaurants, BAM, Atlantic Center, LIRR terminal. 6 Queen/Full size beds, easily SLEEPS TWELVE. Newly renovated kitchen/subzero/wolf. Huge backyard and deck for outdoor dining, including electric grill. Perfect for large family/reunion/group. Available for one or two weeks. Includes air conditioning, internet, laundry machine. $100/week cleaning fee. <br />Bedroom 1 – queen bed (sleeps 2)<br />Bedroom 2 – queen size bed (sleeps 2)<br />Bedroom 3 – full size bed (sleeps 2)<br />Bedroom 4 – full size bed (sleeps 2)<br />Bedroom 5 -  full bed (sleeps 2)<br />Play room – queen size sleeper sofa (sleeps 2)<br /><br /><b>Guest access</b><br />House (three floors); deck; back yard with tra",Boerum Hill,Entire house,"['30 days', 'NY', '1', '10th Street', 'Hudson', 'the Christopher Street Subway', 'Bleeker Row', '1-1/2', 'Soho', 'The Meatpacking District', 'East Village', 'Nolita', 'Chelsea', 'Union Square']"
39282.0,“Work-from-home” from OUR home.,"*Monthly Discount Available*<br />Your home-office away from home. Guests enjoys a private, well appointed room perfect for tele-commuting, etc...outfitted with a proper desk and chair, high speed internet, air/heat, in addition to a comfy bed and lots of natural light. Full kitchen and bathroom access as well as access to rooftop of our large and sunny 3 bd apartment<br /><br /><b>The space</b><br />One of three bedrooms in our large, sunny Brooklyn apartment! Apartment is shared with full -time flat mates (Holly and Russel) and part-time (Gus)<br />Includes a  comfy “full"" (or ""double"") bed perfect for an average height/weight couple or solo traveller. 100% cotton linens/towels provided. Compact hair dryer available. <br />COVID -19 UPDATE: flat mates are tested  regularly and we request that guests wear masks in common rooms until a negative test result can be provided 3-5 days AFTER your travel to NYC.<br /><br /><br />KITCHEN:<br />We have a fully-stocked kitchen that you are abso",Williamsburg,Private room in apartment,"['Boerum Hill', 'one', 'Atlantic/Pacific streets', 'minutes', 'Atlantic Ave', 'Smith St/Court St.', 'BAM', 'Atlantic Center', '6', 'SLEEPS TWELVE', 'one or two weeks', '100', '1', '2', '3', '4', '5', 'three']"
39572.0,1 br in a 2 br apt (Midtown West),"<b>The space</b><br />1 bedroom in a 2 bedrooms apartment (Midtown West), apartment located in Midtown West (Hell's kitchen) near Times Square (5 min walk). The apartment is close to most of the subways (E, C, 1, N, R, W, F, B, D).<br /><br />I am traveling for Xmas, New Year and part of January so I won't even be in the apartment at that time so you will have the full apartment for yourself.<br /><br />Nice and clean apartment. Close to restaurants, shops, cafes, Hudson river, etc. All basic services included (electricity, gas, water, etc.). Internet also included.<br /><br />AMENITIES:<br /><br />- Small full Kitchen, stove,oven, microwave<br />- bedroom with full bed, 1 window<br />- nice bathroom with tub and shower<br />- WIFI Internet<br />- It sleeps 2 people , perfect for a couple<br /><br />PS: I also have an airbed to accommodate a third guest.",Hell's Kitchen,Private room in apartment,"['Monthly', '3', 'three', 'Brooklyn', 'Holly', 'Russel', '100%', '3-5 days']"
39586.0,Big room w/private bathroom and great Hudson view,"You are renting a big room with private bathroom in a two bedroom apartment with a Hudson view and 3 block walk to  Central Park.  Near Dakota building where John Lennon lived.  <br /><br />This is one of the best building in UWS and with amazing sunset water views. Luxury building with all amenities and best of NYC.<br /><br />Near the Metropolitan Opera, Columbus Circle, 15 min walk to Times Square, across the park from the Metropolitan Museum and 5 min walk to the Museum of Natural History.<br /><br /><b>The space</b><br />This is an elegant building - amazing Hudson river view and all amenities - 2 bedrooms, a living room with a sofa, dining area, kitchen, bathroom.<br /><br />The building is locate right by Hudson  and it is easy to get anywhere - 72 street subway stop and walking distance form Central Park.<br /><br />This is the most luxurious area of UWS right by the Metropolitan Opera, Mandarin Hotel, Columbus Circle.<br /><br />You are in between two park- Central Park and Ri",Upper West Side,Private room in apartment,"['2', 'Midtown West', 'Midtown West', 'Times Square', '5 min', 'Xmas', 'New Year', 'January', 'Hudson river', '1', 'third']"
39593.0,A room of own with a Manhattan view,"This is a lovely room in my apartment in a quiet neighborhood near the historic Sunnyside Garden and comes with a view of LIC/Manhattan skyline. Only a few stops to Midtown NYC. Fully equipped kitchen and bathroom are shared with one person. Available from December 1, 2020 for a preferably minimum 3-month stay; a rental agreement may be signed for a year stay. A non-smoking, no-drinking, no-pet woman would make an ideal guest.<br /><br /><b>The space</b><br />A spacious (11x19) corner room w/ double exposures to the West and South. Being on the top floor of an elevator bldg., it is sunny and airy all the time (one of guests put it ""positive energy filled.""). Shared bathroom and kitchen look as if they belonged to the room exclusively; exiting the room you have the kitchen to the right and the bathroom to the left.<br /><br />The room comes with an A/C, queen size bed, nite stand, round tead table, secretary desk, a study desk and an Ikea bookcase, chair, red armchair, hope-chest, sofa ",Sunnyside,Private room in apartment,"['two', 'Hudson', '3 block', 'Central Park', 'Near Dakota', 'John Lennon', 'UWS', 'the Metropolitan Opera', 'Columbus Circle', '15 min', 'Times Square', 'the Metropolitan Museum', '5 min', 'the Museum of', 'Hudson', '2', 'Hudson', '72', 'Central Park.<br', 'UWS', 'the Metropolitan Opera', 'Mandarin Hotel', 'Columbus Circle.<br', 'two', 'Central Park', 'Ri']"
